"","TSNE_1","TSNE_2"
"C230517005_CELL1000_N3",52.4914607894338,16.5923852071277
"C230517005_CELL1013_N2",-49.0609773876435,23.0286042374411
"C230517005_CELL1025_N3",-8.78116688019419,4.82881220340069
"C230517005_CELL1031_N2",16.0949866975016,-23.3041629501946
"C230517005_CELL1037_N2",-7.21833310281415,-48.4979155926009
"C230517005_CELL1038_N3",26.361140157776,13.4349118941652
"C230517005_CELL1045_N2",-51.9530835813379,7.03053592937599
"C230517005_CELL1053_N2",2.27566702971269,-15.8037616010679
"C230517005_CELL1058_N2",-2.10825516817086,45.2793540199981
"C230517005_CELL1063_N2",-26.7171920958764,-42.321997243663
"C230517005_CELL1064_N2",17.9700754199629,-1.74336925854562
"C230517005_CELL1070_N2",-8.64413520536459,4.79719106133939
"C230517005_CELL1072_N3",57.6976136123377,14.5067690880998
"C230517005_CELL1112_N3",41.6181579919773,-12.7745697570814
"C230517005_CELL1143_N2",2.27737564360392,-15.8017182996984
"C230517005_CELL1160_N4",56.5279650597301,16.4296209774689
"C230517005_CELL1164_N2",6.35235016229772,1.03735775063867
"C230517005_CELL1169_N2",-6.66917689990706,14.0113151758526
"C230517005_CELL116_N3",11.6945255581573,-26.0725695451457
"C230517005_CELL1171_N1",34.4239696607317,-11.2361648415281
"C230517005_CELL1172_N2",-42.3252806583326,-43.1832964822285
"C230517005_CELL1176_N3",-14.8946617725398,50.5159614799663
"C230517005_CELL1188_N2",32.7942882679385,17.0675040049036
"C230517005_CELL1193_N2",-23.5715966156858,35.2251770337617
"C230517005_CELL1218_N2",-20.6285913273844,23.1589307670866
"C230517005_CELL1222_N4",-15.261685674194,36.8529821459678
"C230517005_CELL1226_N2",18.346265961156,-63.2161430957938
"C230517005_CELL122_N2",29.9171992818122,-14.4196504707075
"C230517005_CELL1240_N2",16.0764799117478,2.08893879761796
"C230517005_CELL1241_N2",-11.9170221968858,-31.881915424678
"C230517005_CELL1249_N2",-3.75496207011003,-9.94224476449306
"C230517005_CELL1254_N1",18.7670815154407,-41.7429109259027
"C230517005_CELL1255_N2",58.1127315517865,14.4761336598189
"C230517005_CELL1263_N3",-10.0441198233977,-21.0418016326372
"C230517005_CELL1271_N3",-15.2018934302726,36.8724845669849
"C230517005_CELL1280_N2",-11.3547322726706,-10.9371505508162
"C230517005_CELL1294_N3",-39.3373134328724,19.6623735733765
