"","TSNE_1","TSNE_2"
"C231122001_CELL1023_N4",-46.97969559311,9.07104150755684
"C231122001_CELL1037_N5",-38.8483015387873,-19.6843692520731
"C231122001_CELL1047_N2",-23.9507746736187,-23.4987564388216
"C231122001_CELL1051_N2",-32.1637998522246,-12.3402431349598
"C231122001_CELL1076_N2",-25.8392976342469,-1.13925642880329
"C231122001_CELL1102_N2",-7.07517880472271,51.0337707433254
"C231122001_CELL1118_N2",-22.5019298993562,-14.6657039308334
"C231122001_CELL1126_N4",4.82903456200471,-10.1180778772377
"C231122001_CELL1139_N2",15.2843827328813,-36.1528854930789
"C231122001_CELL115_N3",-51.2673920062194,-0.399871118103455
"C231122001_CELL1202_N1",22.525703754747,-3.90082980465735
"C231122001_CELL1209_N5",-50.2069112655143,-9.68768523237259
"C231122001_CELL1224_N3",-10.563695796746,-43.0694712870279
"C231122001_CELL1235_N5",-4.45445896399511,-6.72246164547285
"C231122001_CELL1247_N2",-52.4118467980506,-0.755365701070714
"C231122001_CELL1250_N2",40.6335158181573,6.12523914126981
"C231122001_CELL1284_N2",-17.3844612395622,-8.99512151967811
"C231122001_CELL1313_N2",-4.78051465395311,1.67477604119091
"C231122001_CELL1337_N2",-23.0623232911823,1.25378116855749
"C231122001_CELL1363_N1",-25.7520655062322,-12.4355615813715
"C231122001_CELL1380_N2",-10.9245700423654,-20.328477560322
"C231122001_CELL1388_N2",-31.7657040922334,-11.332764468037
"C231122001_CELL1393_N1",15.1182958660965,-34.2644147950144
"C231122001_CELL141_N1",-32.5555272864141,-32.6186437490332
"C231122001_CELL1422_N2",4.88515700905192,6.59921938768198
"C231122001_CELL1434_N3",3.17869287028629,-13.248093836631
"C231122001_CELL1471_N2",4.3609829429763,60.3851008177106
"C231122001_CELL147_N2",-9.6305139011428,24.2213611681191
"C231122001_CELL1506_N1",-36.6659643508837,-34.5972371390807
"C231122001_CELL1514_N3",8.5698837755402,-3.29703365807737
"C231122001_CELL1547_N1",33.339457545677,-15.0242720182033
"C231122001_CELL154_N1",-32.0991064018257,-33.2004049802231
"C231122001_CELL1564_N1",-32.3216262189857,-14.1777757609551
"C231122001_CELL1580_N2",6.21049876986051,6.32151448276786
"C231122001_CELL1584_N4",-22.2054635234256,2.14760263763592
"C231122001_CELL1598_N2",-21.9267297851276,-7.60846034268426
"C231122001_CELL1603_N1",-34.9285859486863,3.14863514674899
"C231122001_CELL1634_N2",8.40042511472502,9.65369000192473
"C231122001_CELL1635_N3",3.15299353010251,-13.2046214868117
"C231122001_CELL1640_N2",-31.876229428181,31.1974062555078
"C231122001_CELL1650_N4",6.25312265707259,4.95904623842075
"C231122001_CELL1652_N4",-5.33272587611893,61.1125860606576
"C231122001_CELL166_N4",-26.4356659803724,-17.4177423934343
"C231122001_CELL175_N2",9.12267833812196,19.4280456103436
"C231122001_CELL1889_N1",8.56244747127509,-2.05985603274675
"C231122001_CELL1920_N1",44.8299744419321,-4.05574509178339
"C231122001_CELL1950_N1",-16.4430533021255,-36.7300293964292
"C231122001_CELL1970_N1",6.10287094629637,7.67953306006073
"C231122001_CELL1976_N1",45.1440441163397,-1.65978835463377
"C231122001_CELL202_N3",-17.6458728022546,16.7562897152935
"C231122001_CELL2063_N1",-19.1039633354613,-30.9938475008372
"C231122001_CELL2090_N1",0.2232029844138,-11.8386106845983
"C231122001_CELL2100_N1",-28.8593378689914,-34.5926574905563
"C231122001_CELL210_N2",-20.876750728947,-24.1348433789289
"C231122001_CELL2121_N1",-23.9733861176421,-32.0550382944938
"C231122001_CELL2145_N1",-30.5119528908524,10.9016538159325
"C231122001_CELL2226_N1",-23.8410735074213,-42.2436824046957
"C231122001_CELL2233_N1",-6.29530154159572,-45.6874925287659
"C231122001_CELL2251_N1",-11.1647493149144,-20.7795005848038
"C231122001_CELL2266_N1",-10.5773642679564,-43.0261202771392
"C231122001_CELL2275_N1",-25.2807868676434,-49.0000522772723
"C231122001_CELL2284_N1",19.3596319793327,-37.5204009584993
"C231122001_CELL2342_N1",5.72120046585316,2.52434322340811
"C231122001_CELL237_N1",14.491343399241,15.8855497987904
"C231122001_CELL2436_N1",-18.9729774448479,-21.8830132553105
"C231122001_CELL2451_N1",-35.3538255874929,-36.0675502415927
"C231122001_CELL2459_N1",22.123789957652,16.1719170700927
"C231122001_CELL2464_N1",1.89826594434586,-39.4940679545567
"C231122001_CELL2504_N1",-8.14924101285584,-40.0939890801059
"C231122001_CELL2547_N1",-3.82142300809929,-30.4865973013506
"C231122001_CELL257_N2",-45.0582847512047,-9.25786395695492
"C231122001_CELL2586_N1",-5.64983088930001,-17.7442519389242
"C231122001_CELL25_N3",0.116377417682314,51.8820792775591
"C231122001_CELL2617_N1",-45.580976946538,-8.18676317684337
"C231122001_CELL2659_N1",27.0712245455866,-37.0989414700564
"C231122001_CELL2704_N1",-4.53190683702485,1.49348384867302
"C231122001_CELL2727_N1",-5.16534858802421,-4.75783595812343
"C231122001_CELL2730_N1",-21.2147742921603,-24.0743855378565
"C231122001_CELL2738_N1",-48.2047341627858,0.550566486564802
"C231122001_CELL2800_N1",-45.3046105962324,3.43680060739338
"C231122001_CELL2850_N1",-20.0731394450629,-29.3981838399032
"C231122001_CELL28_N1",-25.310894591186,-27.9930707673479
"C231122001_CELL2949_N1",-29.655708157169,-25.6548589473063
"C231122001_CELL2988_N1",-49.1207012813921,-5.3861469745063
"C231122001_CELL298_N1",-34.7046420496318,-23.9854576843005
"C231122001_CELL3007_N1",-8.11718907997824,-11.3863891000436
"C231122001_CELL3010_N1",-18.6189814140366,-22.337701325206
"C231122001_CELL3028_N1",-25.3583019232519,-33.1678732241411
"C231122001_CELL3070_N1",40.2496629321912,-38.5778116224772
"C231122001_CELL3074_N1",-46.2953958033155,-13.4298786488404
"C231122001_CELL308_N5",-29.21190440102,-6.18009106171294
"C231122001_CELL3142_N1",-8.47816077578368,-46.7699593234313
"C231122001_CELL3148_N1",-12.4004770641444,-35.6106781510116
"C231122001_CELL314_N2",-37.6100026406213,-6.83063654080345
"C231122001_CELL3193_N1",13.4567679616102,19.5168198165303
"C231122001_CELL3263_N1",38.3165907063996,-32.700916489928
"C231122001_CELL3264_N1",-5.91695722777747,-27.8666195060873
"C231122001_CELL3271_N1",-8.56205955163489,-46.3633190085189
"C231122001_CELL329_N1",-27.5161834751735,-36.0605643139068
"C231122001_CELL3322_N1",-22.1887091152632,-14.3793674842147
"C231122001_CELL337_N1",-14.2321149936052,1.12892504935364
"C231122001_CELL3412_N1",-4.3628036410882,-6.812591748948
"C231122001_CELL3430_N1",-3.13691359811973,6.20503704334383
"C231122001_CELL3460_N1",-30.8544232697133,-8.01424709376583
"C231122001_CELL3481_N1",33.7225248840397,-16.1956002377651
"C231122001_CELL3503_N1",-26.7076994593061,-33.9140695566219
"C231122001_CELL352_N2",9.57083806906085,23.5032351437487
"C231122001_CELL3650_N1",-2.55202721980884,-13.1435124859566
"C231122001_CELL3705_N1",-22.0343044534954,-7.55388754044466
"C231122001_CELL3707_N1",-25.09578860647,-22.7637432254431
"C231122001_CELL3724_N1",-9.84589339813364,6.73801413172796
