,TSNE_1,TSNE_2,label
C230517005_CELL1516_N2,15.2255710105908,-52.5476272251261,3
C230517005_CELL1519_N2,-14.5127895286318,28.0688676421958,2
C230517005_CELL1521_N2,0.410522034020121,-57.128663402794,3
C230517005_CELL1526_N3,-14.4108877202177,27.1786843386222,2
C230517005_CELL1534_N3,12.3257620717199,38.8252580568029,2
C230517005_CELL1535_N2,39.2352291793926,-1.975061005358,1
C230517005_CELL153_N2,58.209681992374,-4.09234668391162,1
C230517005_CELL1541_N2,42.2969541273567,-28.507224252713,1
C230517005_CELL1546_N2,-18.9178301363377,46.0525849472441,2
C230517005_CELL1573_N3,-15.0333360426415,-52.8738340244628,3
C230517005_CELL1583_N2,-37.8814012353462,-3.46954432693132,0
C230517005_CELL1599_N2,-24.289485052385,29.6643367589158,2
C230517005_CELL1600_N2,18.1184567053382,-2.43625406949997,1
C230517005_CELL1605_N2,6.1851313907481,-38.5431659293505,3
C230517005_CELL1615_N2,-13.8899160535775,-5.31962841151689,0
C230517005_CELL1616_N2,20.1077312555961,34.4429536935588,2
C230517005_CELL1618_N2,14.157587239524,29.743250734111,2
C230517005_CELL161_N3,12.3818691382575,48.6591039684027,2
C230517005_CELL1623_N2,3.24440928608346,44.184780759673,2
C230517005_CELL1625_N2,-19.7526257132666,22.4571183787115,2
C230517005_CELL1627_N2,55.1520371982164,13.835558898108,1
C230517005_CELL1641_N2,-25.3195709670498,42.5649539828031,2
C230517005_CELL1658_N2,-8.70821832619926,-32.7351107233627,3
C230517005_CELL166_N1,9.17989883143795,-21.3600527710355,3
C230517005_CELL1675_N2,1.62573855502113,-49.0382881094685,3
C230517005_CELL1677_N4,-10.3010724802855,62.1939554643882,2
C230517005_CELL1680_N2,-27.679283531174,-24.6921343729577,3
C230517005_CELL16_N4,-11.353465228161,48.1813832690307,2
C230517005_CELL1713_N2,3.49376437875637,-62.1364488681678,3
C230517005_CELL1716_N2,-25.3330129124141,37.6786433193713,2
C230517005_CELL1722_N2,5.7367128570732,15.619044472491,2
C230517005_CELL1734_N3,-19.7115038048654,39.0334331586937,2
C230517005_CELL1739_N1,-30.0198329273383,-51.3537137330119,3
C230517005_CELL174_N2,36.8054047481464,28.745074064315,1
C230517005_CELL1750_N3,-20.6921291693739,-47.0823091725537,3
C230517005_CELL1751_N2,-15.33002427041,-45.3614073956362,3
C230517005_CELL175_N3,-21.0685035195024,41.7669413842785,2
C230517005_CELL1761_N2,-7.44527113521804,-27.9659840224659,3
C230517005_CELL1762_N2,10.5779440333455,20.7021029101458,2
C230517005_CELL1764_N2,2.55077332295493,-39.8771633579591,3
C230517005_CELL1766_N2,-9.22574958616626,-34.8656748191907,3
