"","TSNE_1","TSNE_2"
"C231122001_CELL25_N3",-2.84692834026375,57.9455480871176
"C231122001_CELL2617_N1",-39.3152067131585,-8.13356693238012
"C231122001_CELL2659_N1",30.0860457905558,-37.4549030271974
"C231122001_CELL2704_N1",-7.77213075936877,-0.636568527202215
"C231122001_CELL2727_N1",-4.54467774663783,-4.58957166000966
"C231122001_CELL2730_N1",-18.9119003190392,-21.553378919371
"C231122001_CELL2738_N1",-45.720441385888,0.157170612134983
"C231122001_CELL2800_N1",-24.6413468094725,20.0034187558984
"C231122001_CELL2850_N1",-20.9542175030032,-27.3568179732424
"C231122001_CELL28_N1",-37.2445803993496,-32.2780427009763
"C231122001_CELL2949_N1",-23.5071956453429,-19.1779189352606
"C231122001_CELL2988_N1",-43.3743637269736,-6.17220864389003
"C231122001_CELL298_N1",-25.8319020567594,-25.7009958524657
"C231122001_CELL3007_N1",-11.7619782504196,-13.6120052632455
"C231122001_CELL3010_N1",-16.291263905982,-19.5918042411127
"C231122001_CELL3028_N1",-23.4148873553651,-34.5371338044313
"C231122001_CELL3070_N1",41.2384274681376,-37.713050782792
"C231122001_CELL3074_N1",-40.8991904592849,-13.3899580264487
"C231122001_CELL308_N5",-28.009314940386,-7.59173336254342
"C231122001_CELL3142_N1",-5.83399134699832,-46.3169966397718
"C231122001_CELL3148_N1",-11.5926283899444,-33.3583142465792
"C231122001_CELL314_N2",-34.8429102044968,-7.60338657880391
"C231122001_CELL3193_N1",11.410829642435,16.754991871607
"C231122001_CELL3263_N1",40.223104633136,-32.4251650945659
"C231122001_CELL3264_N1",-5.81349484958827,-29.7855948126187
"C231122001_CELL3271_N1",-5.85921223832852,-45.9616582263686
"C231122001_CELL329_N1",-23.7238024675409,-38.3503628992062
"C231122001_CELL3322_N1",-29.3011495665182,-22.9658096080207
"C231122001_CELL337_N1",-8.70737435691036,-7.04649804185679
"C231122001_CELL3412_N1",-5.45689914099743,-6.67829787454242
"C231122001_CELL3430_N1",-8.22500245923105,5.15375667346203
"C231122001_CELL3460_N1",-29.9499312417116,-9.24148185957318
"C231122001_CELL3481_N1",38.1539926563378,-12.1662706081906
"C231122001_CELL3503_N1",-23.637983617211,-36.1158974327482
"C231122001_CELL352_N2",8.05292378010713,22.3142908489355
"C231122001_CELL3650_N1",-1.74239985540209,-9.34484741120825
"C231122001_CELL3705_N1",-22.7057910943329,-5.79018845757247
"C231122001_CELL3707_N1",-24.5169133369857,-0.733385775848551
"C231122001_CELL3724_N1",-13.4742201455417,6.00169553606277
"C231122001_CELL3740_N1",-15.9323763169113,-36.5407913315747
"C231122001_CELL3762_N1",-17.7793925482247,10.9858051441143
"C231122001_CELL3783_N1",52.5331206886527,-8.76763002796623
"C231122001_CELL3809_N1",-17.5735111754668,-10.5882738393054
"C231122001_CELL391_N1",-0.454489419983947,-26.8958838089136
"C231122001_CELL3954_N1",-55.4389122965947,-8.51545697704744
"C231122001_CELL397_N2",-8.38108029373011,-6.71296089760263
"C231122001_CELL402_N3",-11.6759201755064,-30.9319803190281
"C231122001_CELL4043_N1",17.5879638521926,-25.0668063572479
"C231122001_CELL405_N2",-18.0884220317206,10.7139430163209
"C231122001_CELL4063_N1",-15.0090760552906,-35.6125920137857
"C231122001_CELL410_N2",-32.2821418477801,-27.9394215005405
"C231122001_CELL4112_N1",-8.04129212047921,-38.4009894595176
"C231122001_CELL4151_N1",23.7287186998069,-35.1871833119792
"C231122001_CELL4167_N1",1.71548895023302,-0.946490660551905
"C231122001_CELL4183_N1",-34.4633127073636,6.26198128463463
"C231122001_CELL418_N2",-5.63898376719917,30.2717305275426
"C231122001_CELL4262_N1",12.2098916365911,23.0513981039109
"C231122001_CELL4296_N1",-36.4280535671993,-16.6328653824465
"C231122001_CELL4343_N1",-31.3904316659196,-27.3040431651558
"C231122001_CELL4360_N1",-16.4648298528537,-19.896734419418
"C231122001_CELL4376_N1",-2.29598387986826,-20.5187710926262
"C231122001_CELL4427_N1",-40.6542483735605,-19.2380117064336
"C231122001_CELL4432_N1",-13.8083056518053,-35.0164121340274
"C231122001_CELL4457_N1",-48.3450388950149,16.7537587439555
"C231122001_CELL4495_N1",-16.187100334303,-36.9890104900026
"C231122001_CELL4505_N1",-29.6611626211929,-11.9267693791043
