"","TSNE_1","TSNE_2"
"C230517003_CELL1060_N2",24.6766449497342,29.5348164909227
"C230517003_CELL1234_N1",-51.4111930058649,2.38320268355998
"C230517003_CELL1245_N1",0.914723932426889,42.1727693866845
"C230517003_CELL1258_N1",21.3748209811175,41.4457167187259
"C230517003_CELL1295_N1",20.7732538992583,52.9232022021654
"C230517003_CELL1333_N2",45.7489208418825,22.3222797911496
"C230517003_CELL1391_N2",-37.2827372808824,-2.58459188287466
"C230517003_CELL1417_N3",0.123625238629554,50.0958293844382
"C230517003_CELL145_N2",-28.2583185239011,26.9068369706205
"C230517003_CELL1479_N1",21.2692923470475,20.2847233545939
"C230517003_CELL1491_N2",47.5709555320372,33.1029502435419
"C230517003_CELL1528_N5",43.0111718807246,15.8420329139219
"C230517003_CELL1550_N2",19.9574680327688,39.5817957872634
"C230517003_CELL1617_N1",35.7620696218976,30.520990615932
"C230517003_CELL1631_N1",43.0656082704576,34.9398305990961
"C230517003_CELL167_N2",0.134851403556471,50.0909868180859
"C230517003_CELL1803_N1",21.3755816559048,41.4483711487053
"C230517003_CELL205_N2",38.5080819083676,34.9387871020144
"C230517003_CELL2076_N1",-24.9481813413982,35.8789013788118
"C230517003_CELL2092_N1",22.1385597736822,41.8028027531773
"C230517003_CELL2117_N1",18.5889674473124,51.6977419451248
"C230517003_CELL2160_N1",-4.10174009245642,57.0530131542885
"C230517003_CELL2191_N1",10.8022585850313,64.1100227859153
"C230517003_CELL232_N3",19.4638673093594,33.3148531888846
"C230517003_CELL2368_N1",-17.2874334717907,55.4683686964441
"C230517003_CELL2409_N1",30.5363979288493,54.873165196588
"C230517003_CELL248_N2",13.1647641739648,33.543070565933
"C230517003_CELL2497_N1",22.1012274254258,34.6691552300684
"C230517003_CELL2555_N1",31.9449196532983,36.6475685562208
"C230517003_CELL2850_N1",1.58914443438906,31.9600117283853
"C230517003_CELL2856_N1",28.4026243443426,34.2292005031859
"C230517003_CELL2915_N1",32.4863049601247,52.7728884632561
"C230517003_CELL297_N1",-0.669121631712981,51.0979924270094
"C230517003_CELL3003_N1",41.7202922080094,44.341074303032
"C230517003_CELL304_N2",-14.310097841985,48.6921439481233
"C230517003_CELL3055_N1",21.6182447677945,44.6853008076119
"C230517003_CELL3071_N1",3.95545231096406,31.0955797105023
"C230517003_CELL332_N3",38.8295463431659,44.6930766140588
"C230517003_CELL3401_N1",43.9630882229916,48.0382980449231
"C230517003_CELL3442_N1",13.9731333231948,40.2913835041255
"C230517003_CELL3567_N1",22.9940624238443,60.256323897776
"C230517003_CELL3800_N1",18.9858237421604,63.1170290526698
"C230517003_CELL3862_N1",10.0734819806343,34.5576851491946
"C230517003_CELL3958_N1",10.7411204857399,64.1910911945583
"C230517003_CELL4015_N1",-4.38484821133843,-21.7175467769516
"C230517003_CELL4057_N1",21.8923722184544,38.7662107662527
"C230517003_CELL4058_N1",36.3809474036673,39.4228632358167
"C230517003_CELL405_N2",10.6707220442466,32.3420393836371
"C230517003_CELL4165_N1",11.8016526046569,60.6242191896379
"C230517003_CELL4170_N1",21.8257973513444,38.8430584172769
"C230517003_CELL4227_N1",4.62039941618862,40.8528205541064
"C230517003_CELL4236_N1",-25.1131469806697,-12.4519829847091
"C230517003_CELL4262_N1",32.6321066397739,34.0505770794644
"C230517003_CELL4276_N1",15.9503925031237,53.8587638610419
"C230517003_CELL4422_N1",18.6273248632289,51.6471113629756
"C230517003_CELL4433_N1",28.0850878806176,56.0963515090392
"C230517003_CELL457_N1",47.9832726002076,28.3468909333088
"C230517003_CELL4622_N1",0.585462508524608,56.1903814270547
"C230517003_CELL4691_N1",7.39336456232669,61.6855220999808
"C230517003_CELL476_N2",42.2768460473861,47.4743708327104
"C230517003_CELL4784_N1",-51.4977703101795,-4.70280989963414
