,TSNE_1,TSNE_2,label
C230517004_CELL2204_N1,-30.4152733786927,57.9673700101567,2
C230517004_CELL2265_N1,-65.7511623319873,20.048286291627,2
C230517004_CELL2271_N1,-59.3465441512541,30.6958003360986,2
C230517004_CELL2305_N1,-15.6481083321477,33.0117304336845,2
C230517004_CELL2408_N1,-21.8325636520892,58.4235214963193,2
C230517004_CELL2415_N1,-14.3162480351247,57.2258800121782,1
C230517004_CELL2464_N1,-7.22429128115992,57.1726717319395,1
C230517004_CELL2471_N1,-13.9561497126545,57.7758995615187,1
C230517004_CELL2525_N1,-56.4894772965069,10.705546805203,2
C230517004_CELL2570_N1,-66.001305539352,18.0377252017822,2
C230517004_CELL2587_N1,-40.0176316360097,20.4707360177637,2
C230517004_CELL2665_N1,-38.4492112927633,27.2071973606792,2
C230517004_CELL2692_N1,-34.242337289645,36.9935081603443,2
C230517004_CELL272_N6,-42.6873041526635,4.15800436241325,2
C230517004_CELL2877_N1,-17.2175494031337,28.3436843101246,2
C230517004_CELL28_N1,8.46345310337416,22.5856359534276,1
C230517004_CELL2971_N1,-29.3985467551076,54.6073564347276,2
C230517004_CELL297_N2,-17.3940087988997,28.3979052769803,2
C230517004_CELL3000_N1,-39.7450367356868,45.3322604147409,2
C230517004_CELL3060_N1,-24.5218203795162,31.1180264105269,2
C230517004_CELL3089_N1,49.548699245269,-32.9362062089866,3
C230517004_CELL3101_N1,17.8636514631633,9.62757812758638,3
C230517004_CELL3144_N1,-60.5073321587617,19.9353698086633,2
C230517004_CELL3146_N1,1.34118617306525,56.1013233316162,1
C230517004_CELL3232_N1,-14.381758063245,60.5170634478561,1
C230517004_CELL3278_N1,-12.9283672368798,50.4920023652582,1
C230517004_CELL333_N2,-42.5634460198381,23.7781156409281,2
C230517004_CELL3383_N1,-53.4045385518797,10.7079714902843,2
C230517004_CELL3413_N1,24.9063564854604,18.6249863604152,1
C230517004_CELL3461_N1,-20.6406054630289,32.9370271480019,2
C230517004_CELL349_N2,-25.2061713071789,28.2585977816347,2
C230517004_CELL3554_N1,-32.6537850504297,31.0794005382089,2
C230517004_CELL357_N1,1.52806532436779,37.4125944016794,1
C230517004_CELL3595_N1,-7.34298122083525,19.3494012076478,1
C230517004_CELL3649_N1,-20.2161959038475,30.6457527860429,2
C230517004_CELL3691_N1,-14.6507243140925,57.8357336147767,1
C230517004_CELL371_N2,31.8017276533232,12.9750900828328,3
C230517004_CELL3888_N1,-17.4013571425506,32.4808993704986,2
C230517004_CELL389_N3,-24.0017511525661,42.752593009001,2
C230517004_CELL3920_N1,-16.4903556984053,32.3037065312296,2
C230517004_CELL403_N4,-37.1322607832564,13.6771772841115,2
C230517004_CELL4089_N1,-14.0638056429161,58.3042805218405,1
C230517004_CELL4095_N1,-40.945599905794,46.8870296357458,2
C230517004_CELL4196_N1,-30.2331234921643,58.539934433501,2
C230517004_CELL420_N1,20.2061424463517,19.2918686121818,1
C230517004_CELL4276_N1,-25.2329466300294,45.2273875470464,2
C230517004_CELL4285_N1,-53.1700228826019,2.85881478779505,2
C230517004_CELL4309_N1,-6.22628355176069,44.447531447855,1
C230517004_CELL4435_N1,-20.2434426856172,40.3681750015226,2
C230517004_CELL443_N1,-65.8738065837509,20.0127430335771,2
C230517004_CELL458_N4,-21.1003155586216,32.5191345971865,2
C230517004_CELL4744_N1,-2.30523740091603,20.9451265707055,1
C230517004_CELL4770_N1,-11.2899531293585,43.7346008489098,1
C230517004_CELL4771_N1,-30.9050579787658,25.1725964541828,2
C230517004_CELL495_N5,52.5155127948262,-28.066396877712,3
C230517004_CELL498_N1,-38.3195094456278,7.03381343324979,2
C230517004_CELL506_N3,20.5557228769739,36.8340267633615,1
C230517004_CELL5097_N1,-29.2605801657658,55.5316816764477,2
C230517004_CELL5152_N1,-15.8728596683148,57.9088735185927,1
C230517004_CELL5189_N1,-22.0084628413899,45.2298753860943,2
C230517004_CELL5192_N1,-14.9477530891565,57.1226504709267,1
C230517004_CELL5207_N1,-66.8438589032293,20.9582334809361,2
C230517004_CELL5219_N1,10.0996735697216,42.0005379177709,1
C230517004_CELL529_N2,-33.0604204713638,14.5853406688834,2
C230517004_CELL5306_N1,-33.6465362653222,16.8219068459265,2
C230517004_CELL5358_N1,-38.9461489115688,32.0214287902072,2
C230517004_CELL5376_N1,-25.2301517545363,57.9145186677932,2
C230517004_CELL5426_N1,-20.846338093252,40.3502721270675,2
C230517004_CELL5435_N1,-15.2249892885659,59.0707433399114,1
C230517004_CELL5446_N1,-56.4441329517311,33.0592984241319,2
C230517004_CELL5479_N1,-42.388012056323,3.38860058398704,2
C230517004_CELL5529_N1,-35.7838704616269,33.1419440264416,2
C230517004_CELL5576_N1,-16.5317983496058,30.5988856013799,2
C230517004_CELL5622_N1,-40.2359684242333,36.2906455131719,2
C230517004_CELL5625_N1,-39.3274258310695,36.1521754799458,2
C230517004_CELL5627_N1,-29.1807281980245,56.4989886033421,2
C230517004_CELL5644_N1,35.726497819868,18.2955915569352,3
C230517004_CELL5822_N1,-25.4641292717966,43.5520031113331,2
C230517004_CELL5959_N1,-33.2273302924964,15.635441183719,2
C230517004_CELL5978_N1,-16.1477458514748,60.2877496434004,1
C230517004_CELL599_N1,-29.184521215867,56.4982744181846,2
C230517004_CELL6003_N1,-51.7113245004297,32.7079789822372,2
C230517004_CELL600_N3,-2.07022387935579,-26.8267249307656,0
C230517004_CELL6113_N1,-50.4911902921913,30.5825442846388,2
C230517004_CELL6124_N1,-38.702450696531,25.5283765563731,2
C230517004_CELL657_N2,-34.3879761887341,34.3463873977317,2
C230517004_CELL679_N2,-52.5511947802612,-2.83893334526642,4
C230517004_CELL711_N3,37.989917540299,22.7640931338029,3
C230517004_CELL755_N3,-53.6466507451986,11.0631209149016,2
C230517004_CELL757_N4,28.8210916426777,-20.8571074152625,3
C230517004_CELL783_N2,-29.6571505083671,24.2247579030999,2
C230517004_CELL806_N2,-44.0137708745932,32.1469572522326,2
C230517004_CELL852_N2,13.0451346497745,8.87544792973234,1
C230517004_CELL857_N2,-22.067489853339,45.186282211259,2
C230517004_CELL871_N2,-53.4607542803898,-1.13932987507367,4
C230517007_CELL1000_N2,-1.86591883328959,-42.4797711695285,0
C230517007_CELL10020_N1,14.295499689959,52.9657350699003,1
C230517007_CELL10033_N1,-30.7269544575879,0.865192434748565,4
C230517007_CELL10034_N1,32.5376628389184,-13.7880977295217,3
C230517007_CELL10054_N1,15.9792370366226,-9.09461760186282,3
C230517007_CELL10108_N1,-27.1137953240726,-43.1724762087422,4
C230517007_CELL1010_N2,-1.03179794331967,-50.1282864917331,0
C230517007_CELL1011_N2,-0.65699295994302,-49.9533309152735,0
C230517007_CELL10120_N1,-6.22690876154712,44.4498501594587,1
C230517007_CELL1012_N2,-6.58643884738545,9.5207124083606,1
C230517007_CELL10142_N1,-30.5894412291477,27.3708748448598,2
C230517007_CELL10148_N1,6.51391962581052,1.4898962942617,3
C230517007_CELL10169_N1,15.2155664284001,14.9197137034798,1
C230517007_CELL10176_N1,1.3570267322785,8.14355332662019,1
C230517007_CELL101_N2,5.90095306405496,-26.4147310976176,0
C230517007_CELL1021_N3,6.81608327761662,-10.7576517616645,4
C230517007_CELL1022_N1,10.7670238660357,33.4482428454401,1
C230517007_CELL1026_N1,31.3198849726406,39.0087948370589,1
C230517007_CELL1027_N4,37.4394181710524,38.2733520594032,1
C230517007_CELL1035_N2,-47.2243366049602,-22.5227321745099,4
C230517007_CELL1037_N2,50.5911593132247,-6.3490013100655,3
C230517007_CELL1051_N2,52.600396167205,-8.51058836951744,3
C230517007_CELL1054_N4,52.4120072776951,-33.1397234352712,3
C230517007_CELL1056_N1,-56.4907858337725,-5.963502943366,4
C230517007_CELL1057_N2,15.0441266089912,20.9156916787262,1
C230517007_CELL1059_N2,11.0863808889467,-56.0701863357471,0
C230517007_CELL1063_N2,-40.6583872244173,36.3859718902682,2
C230517007_CELL1064_N3,-49.6673701437921,-25.5707314742697,4
C230517007_CELL1065_N3,53.622017537359,-5.09347227435841,3
C230517007_CELL1074_N2,43.2573943064579,20.6721043077063,3
C230517007_CELL1075_N3,26.6927398365263,29.8211191381631,1
C230517007_CELL1076_N3,27.4750638271189,-26.8514675897092,0
C230517007_CELL1083_N3,-8.78698830578715,-1.32174522574268,4
C230517007_CELL1093_N4,12.5623133035737,-57.4459237199996,0
C230517007_CELL10_N1,0.408063038554376,30.0153658198362,1
C230517007_CELL1101_N2,14.4595109957994,21.8701088838849,1
